participant,exp,task,item,status,TextGridLabel,duration,sex
p04,carrier,2,numeracion,hit,a,72.79,m
p04,carrier,2,olla,hit,j,74.05,m
p04,carrier,2,olla,hit,a,100.28,m
p04,carrier,2,oyendo,hit,j,60.25,m
p04,carrier,2,oyendo,hit,e,76.76,m
p04,carrier,2,palabra,hit,a,159.1,m
p04,carrier,2,paleta,hit,e,94.38,m
p04,carrier,2,pan,hit,a,85.3,m
p04,carrier,2,pantalon,hit,a,56.57,m
p04,carrier,2,patilludo,hit,j,65.12,m
p04,carrier,2,patilludo,hit,u,87.59,m
p04,carrier,2,perrito,hit,i,83.74,m
p04,carrier,2,piano,hit,i,79.74,m
p04,carrier,2,piano,hit,a,96.69,m
p04,carrier,2,pille,hit,j,62.53,m
p04,carrier,2,pille,hit,e,82.81,m
p04,carrier,2,pistola,hit,o,130.92,m
p04,carrier,2,pollito,hit,j,64.31,m
p04,carrier,2,pollito,hit,i,71.39,m
p04,carrier,2,portillo,hit,j,49.41,m
p04,carrier,2,portillo,hit,o,52.55,m
p04,carrier,2,poyo,hit,j,48.94,m
p04,carrier,2,poyo,hit,o,103.3,m
p04,carrier,2,principe,hit,i,48.1,m
p04,carrier,2,profeta,hit,e,78.29,m
p04,carrier,2,programa,hit,a,115.8,m
p04,carrier,2,puerta,hit,u,46.18,m
p04,carrier,2,puerta,hit,e,45.35,m
p04,carrier,2,refran,hit,a,143.15,m
p04,carrier,2,relleno,hit,j,76.81,m
p04,carrier,2,relleno,hit,e,90.52,m
p04,carrier,2,reloj,hit,o,112.75,m
p04,carrier,2,rollizo,hit,j,55.73,m
p04,carrier,2,rollizo,hit,i,102.95,m
p04,carrier,2,ropa,hit,o,86.23,m
p04,carrier,2,rueda,hit,u,70.69,m
p04,carrier,2,rueda,hit,e,107.59,m
p04,carrier,2,sella,hit,j,58.89,m
p04,carrier,2,sella,hit,a,81.21,m
p04,carrier,2,sellito,hit,j,65.56,m
p04,carrier,2,sellito,hit,i,96.36,m
p04,carrier,2,sencillez,hit,j,136.71,m
p04,carrier,2,sencillez,hit,e,89.5,m
p04,carrier,2,silla,hit,j,57.27,m
p04,carrier,2,silla,hit,a,57.65,m
p04,carrier,2,silleta,hit,j,117.01,m
p04,carrier,2,silleta,hit,e,104.42,m
p04,carrier,2,sol,hit,o,151.56,m
p04,carrier,2,taco,hit,a,90.07,m
p04,carrier,2,teclado,hit,a,106.34,m
p04,carrier,2,toalla,hit,j,45,m
p04,carrier,2,toalla,hit,a,75.97,m
p04,carrier,2,toller,hit,j,81.46,m
p04,carrier,2,toller,hit,e,97.89,m
p04,carrier,2,traje,hit,a,91.6,m
p04,carrier,2,tullito,hit,j,82.13,m
p04,carrier,2,tullito,hit,i,58.34,m
p04,carrier,2,tuya,hit,j,86.04,m
p04,carrier,2,tuya,hit,a,83.18,m
p04,carrier,2,tuyo,hit,j,87.96,m
p04,carrier,2,tuyo,hit,o,85.06,m
p04,carrier,2,valle,hit,j,73.34,m
p04,carrier,2,valle,hit,e,88.01,m
p04,carrier,2,vello,hit,j,68.96,m
p04,carrier,2,vello,hit,o,47.63,m
p04,carrier,2,velludo,hit,j,99.89,m
p04,carrier,2,velludo,hit,u,94.46,m
p04,carrier,2,video,hit,e,106.36,m
p04,carrier,2,video,hit,o,107.41,m
p05,carrier,1,chiaba,hit,i,130.49,f
p05,carrier,1,chiaba,hit,a,47.92,f
p05,carrier,1,costonhialo,hit,i,95.25,f
p05,carrier,1,costonhialo,hit,a,170.27,f
p05,carrier,1,crobo,hit,o,198.54,f
p05,carrier,1,falukiago,hit,i,78.29,f
p05,carrier,1,falukiago,hit,a,69.88,f
p05,carrier,1,falumaisto,hit,a,117.84,f
p05,carrier,1,falumaisto,hit,i,101.57,f
p05,carrier,1,falupiro,hit,i,166.85,f
p05,carrier,1,falutarlo,hit,a,177.88,f
p05,carrier,1,falutraigo,hit,a,115.12,f
p05,carrier,1,falutraigo,hit,i,94,f
p05,carrier,1,farloto,hit,o,125.11,f
p05,carrier,1,lakabiaisto,hit,i,122.84,f
p05,carrier,1,lakabiaisto,hit,a,190.87,f
p05,carrier,1,lakabuaisto,hit,u,165.67,f
p05,carrier,1,lakabuaisto,hit,a,98.94,f
p05,carrier,1,lakabuaisto,hit,i,120.61,f
p05,carrier,1,lakadiaisto,hit,i,129.54,f
p05,carrier,1,lakadiaisto,hit,a,95.53,f
p05,carrier,1,lakadiaisto,hit,i,86.53,f
p05,carrier,1,lakafiaisto,hit,i,115,f
p05,carrier,1,lakafiaisto,hit,a,204.06,f
p05,carrier,1,lakafiaisto,hit,i,128.13,f
p05,carrier,1,lakagiaisto,hit,i,43.21,f
p05,carrier,1,lakagiaisto,hit,a,142.24,f
p05,carrier,1,lakagiaisto,hit,i,97.25,f
p05,carrier,1,lakakiaisto,hit,i,57.43,f
p05,carrier,1,lakakiaisto,hit,a,116.95,f
p05,carrier,1,lakakiaisto,hit,i,91.4,f
p05,carrier,1,lakakuaisto,hit,u,85.2,f
p05,carrier,1,lakakuaisto,hit,a,76.38,f
p05,carrier,1,lakakuaisto,hit,i,78.33,f
p05,carrier,1,lakapiaisto,hit,i,107.53,f
